Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail
82,2009,Title,SHORT FILM (Animated),SHORT FILM (Animated),The Lady and the Reaper (La Dama y la Muerte),tt1523317,Javier Recio Gracia,Javier Recio Gracia,nm3639868,,
82,2009,Title,SHORT FILM (Animated),SHORT FILM (Animated),Logorama,tt1563725,Nicolas Schmerkin,Nicolas Schmerkin,nm0772645,TRUE,
82,2009,Title,SHORT FILM (Animated),SHORT FILM (Animated),A Matter of Loaf and Death,tt1118511,Nick Park,Nick Park,nm0661910,,
82,2009,Title,SHORT FILM (Live Action),SHORT FILM (Live Action),The Door,tt1381557,Juanita Wilson and James Flynn,Juanita Wilson|James Flynn,nm3397365|nm0283478,,
82,2009,Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Instead of Abracadabra,tt1351684,Patrik Eklund and Mathias Fjellström,Patrik Eklund|Mathias Fjellström,nm1350278|nm1216437,,
82,2009,Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Kavi,tt1399573,Gregg Helvey,Gregg Helvey,nm2620434,,
82,2009,Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Miracle Fish,tt1337354,Luke Doolan and Drew Bailey,Luke Doolan|Drew Bailey,nm1029112|nm1037158,,
82,2009,Title,SHORT FILM (Live Action),SHORT FILM (Live Action),The New Tenants,tt1520428,Joachim Back and Tivi Magnusson,Joachim Back|Tivi Magnusson,nm3629315|nm0536410,TRUE,
82,2009,Production,SOUND EDITING,SOUND EDITING,Avatar,tt0499549,Christopher Boyes and Gwendolyn Yates Whittle,Christopher Boyes|Gwendolyn Yates Whittle,nm0102110|nm0946705,,
82,2009,Production,SOUND EDITING,SOUND EDITING,The Hurt Locker,tt0887912,Paul N.J. Ottosson,Paul N.J. Ottosson,nm0653338,TRUE,
82,2009,Production,SOUND EDITING,SOUND EDITING,Inglourious Basterds,tt0361748,Wylie Stateman,Wylie Stateman,nm0823758,,
82,2009,Production,SOUND EDITING,SOUND EDITING,Star Trek,tt0796366,Mark Stoeckinger and Alan Rankin,Mark Stoeckinger|Alan Rankin,nm0831057|nm0710231,,
82,2009,Production,SOUND EDITING,SOUND EDITING,Up,tt1049413,Michael Silvers and Tom Myers,Michael Silvers|Tom Myers,nm0799011|nm0616878,,
82,2009,Production,SOUND MIXING,SOUND MIXING,Avatar,tt0499549,"Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson",Christopher Boyes|Gary Summers|Andy Nelson|Tony Johnson,nm0102110|nm0838707|nm0625144|nm0426357,,
82,2009,Production,SOUND MIXING,SOUND MIXING,The Hurt Locker,tt0887912,Paul N.J. Ottosson and Ray Beckett,Paul N.J. Ottosson|Ray Beckett,nm0653338|nm0065713,TRUE,
82,2009,Production,SOUND MIXING,SOUND MIXING,Inglourious Basterds,tt0361748,"Michael Minkler, Tony Lamberti and Mark Ulano",Michael Minkler|Tony Lamberti|Mark Ulano,nm0591444|nm0483341|nm0880360,,
82,2009,Production,SOUND MIXING,SOUND MIXING,Star Trek,tt0796366,"Anna Behlmer, Andy Nelson and Peter J. Devlin",Anna Behlmer|Andy Nelson|Peter J. Devlin,nm0066933|nm0625144|nm0222818,,
82,2009,Production,SOUND MIXING,SOUND MIXING,Transformers: Revenge of the Fallen,tt1055369,"Greg P. Russell, Gary Summers and Geoffrey Patterson",Greg P. Russell|Gary Summers|Geoffrey Patterson,nm0751169|nm0838707|nm0666215,,
82,2009,Production,VISUAL EFFECTS,VISUAL EFFECTS,Avatar,tt0499549,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",Joe Letteri|Stephen Rosenbaum|Richard Baneham|Andrew R. Jones,nm0504784|nm0742155|nm0051824|nm1002475,TRUE,
82,2009,Production,VISUAL EFFECTS,VISUAL EFFECTS,District 9,tt1136608,"Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken",Dan Kaufman|Peter Muyzers|Robert Habros|Matt Aitken,nm0442116|nm0616221|nm0352308|nm0014884,,
82,2009,Production,VISUAL EFFECTS,VISUAL EFFECTS,Star Trek,tt0796366,"Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton",Roger Guyett|Russell Earl|Paul Kavanagh|Burt Dalton,nm0004361|nm0247270|nm1668259|nm0198245,,
82,2009,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),District 9,tt1136608,Written by Neill Blomkamp and Terri Tatchell,Neill Blomkamp|Terri Tatchell,nm0088955|nm2833612,,
82,2009,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),An Education,tt1174732,Screenplay by Nick Hornby,Nick Hornby,nm0394984,,
82,2009,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),In the Loop,tt1226774,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",Jesse Armstrong|Simon Blackwell|Armando Iannucci|Tony Roche,nm1104036|nm1006581|nm0406334|nm0733988,,
82,2009,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Precious: Based on the Novel 'Push' by Sapphire,tt0929632,Screenplay by Geoffrey Fletcher,Geoffrey Fletcher,nm2819316,TRUE,
82,2009,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Up in the Air,tt1193138,Screenplay by Jason Reitman and Sheldon Turner,Jason Reitman|Sheldon Turner,nm0718646|nm1417242,,
82,2009,Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),The Hurt Locker,tt0887912,Written by Mark Boal,Mark Boal,nm1676793,TRUE,
82,2009,Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Inglourious Basterds,tt0361748,Written by Quentin Tarantino,Quentin Tarantino,nm0000233,,
82,2009,Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),The Messenger,tt0790712,Written by Alessandro Camon & Oren Moverman,Alessandro Camon|Oren Moverman,nm0131947|nm0610219,,
82,2009,Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),A Serious Man,tt1019452,Written by Joel Coen & Ethan Coen,Joel Coen|Ethan Coen,nm0001054|nm0001053,,
82,2009,Writing,WRITING (Original Screenplay),WRITING (Original Screenplay),Up,tt1049413,"Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter, Bob Peterson, Tom McCarthy",Bob Peterson|Pete Docter|Tom McCarthy,nm0677037|nm0230032|nm0565336,,
82,2009,Special,HONORARY AWARD,HONORARY AWARD,,,,Lauren Bacall,nm0000002,TRUE,
82,2009,Special,HONORARY AWARD,HONORARY AWARD,,,,Roger Corman,nm0000339,TRUE,
82,2009,Special,HONORARY AWARD,HONORARY AWARD,,,,Gordon Willis,nm0932336,TRUE,
82,2009,Special,IRVING G. THALBERG MEMORIAL AWARD,IRVING G. THALBERG MEMORIAL AWARD,,,John Calley,John Calley,nm0130492,TRUE,
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Per Christensen|Michael Bunnell|Christophe Hery,nm1878080|?|nm0381215,TRUE,Digital Imaging Technology
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Dr. Richard Kirk,,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Volker Massmann|Markus Hasenzahl|Dr. Klaus Anderle|Andreas Loew,,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Michael Cieslinski|Dr. Reimar Lenz|Bernd Brauner,,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Wolfgang Lempp|Theo Brown|Tony Sedivy|Dr. John Quartel,nm2851380|?|?|?,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Steve Chapman|Martin Tlaskal|Darrin Smart|Dr. James Logie,nm2485462|nm1168077|?|?,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Mark Jaszberenyi|Gyula Priskin|Tamas Perlaki,nm1122590|nm1123137|?,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Brad Walker|D. Scott Dewald|Bill Werner|Greg Pettitt,,TRUE,Projection
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Fujifilm Corporation|Ryoji Nishimura|Masaaki Miki|Youichi Hosoya,,TRUE,Film
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Paul Debevec|Tim Hawkins|John Monos|Dr. Mark Sagar,nm1663206|nm3105618|nm1040945|nm0755993,TRUE,Digital Imaging Technology
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Mark Wolforth|Tony Sedivy,,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Dr. Klaus Anderle|Christian Baeker|Frank Billasch,,TRUE,Laboratory
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Steve Sullivan|Kevin Wooley|Brett Allen|Colin Davidson,nm0838354|nm1634089|?|nm2042866,TRUE,Digital Imaging Technology
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Hayden Landis|KEN McGAUGH|Hilmar Koch,nm0484821|nm0568983|nm0462320,TRUE,Digital Imaging Technology
82,2009,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,BJÖRN HEDÉN,,TRUE,Photography
83,2010,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Biutiful,tt1164999,Javier Bardem,Javier Bardem,nm0000849,,Uxbal
83,2010,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,True Grit,tt1403865,Jeff Bridges,Jeff Bridges,nm0000313,,Rooster Cogburn
83,2010,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Social Network,tt1285016,Jesse Eisenberg,Jesse Eisenberg,nm0251986,,Mark Zuckerberg
83,2010,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The King's Speech,tt1504320,Colin Firth,Colin Firth,nm0000147,TRUE,King George VI
83,2010,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,127 Hours,tt1542344,James Franco,James Franco,nm0290556,,Aron Ralston
83,2010,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Fighter,tt0964517,Christian Bale,Christian Bale,nm0000288,TRUE,Dicky Eklund
83,2010,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Winter's Bone,tt1399683,John Hawkes,John Hawkes,nm0370035,,Teardrop
83,2010,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Town,tt0840361,Jeremy Renner,Jeremy Renner,nm0719637,,James Coughlin
83,2010,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Kids Are All Right,tt0842926,Mark Ruffalo,Mark Ruffalo,nm0749263,,Paul
83,2010,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The King's Speech,tt1504320,Geoffrey Rush,Geoffrey Rush,nm0001691,,Lionel Logue
83,2010,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,The Kids Are All Right,tt0842926,Annette Bening,Annette Bening,nm0000906,,Nic
83,2010,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Rabbit Hole,tt0935075,Nicole Kidman,Nicole Kidman,nm0000173,,Becca
83,2010,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Winter's Bone,tt1399683,Jennifer Lawrence,Jennifer Lawrence,nm2225369,,Ree
83,2010,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Black Swan,tt0947798,Natalie Portman,Natalie Portman,nm0000204,TRUE,Nina Sayers/The Swan Queen
83,2010,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Blue Valentine,tt1120985,Michelle Williams,Michelle Williams,nm0931329,,Cindy
83,2010,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The Fighter,tt0964517,Amy Adams,Amy Adams,nm0010736,,Charlene Fleming
83,2010,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The King's Speech,tt1504320,Helena Bonham Carter,Helena Bonham Carter,nm0000307,,Queen Elizabeth
83,2010,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The Fighter,tt0964517,Melissa Leo,Melissa Leo,nm0502425,TRUE,Alice Ward
83,2010,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,True Grit,tt1403865,Hailee Steinfeld,Hailee Steinfeld,nm2794962,,Mattie Ross
83,2010,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Animal Kingdom,tt1313092,Jacki Weaver,Jacki Weaver,nm0915865,,Janine 'Smurf' Cody
